"Countries, territories and areas; Year,""Maternal mortality ratio (per 100 000 live births)"",""Number of maternal deaths"""
"Angola; 2002,""758 [533-1 101]"",""6 294 [4 421-9 141]"""
"Angola; 2001,""800 [556-1 163]"",""6 437 [4 477-9 361]"""
"Angola; 2000,""860 [596-1 255]"",""6 707 [4 648-9 792]"""
"Angola; 1999,""893 [620-1 312]"",""6 764 [4 691-9 933]"""
"Angola; 1998,""934 [646-1 360]"",""6 884 [4 761-10 024]"""
"Angola; 1997,""961 [666-1 398]"",""6 910 [4 788-10 055]"""
"Angola; 1996,""997 [693-1 454]"",""7 002 [4 863-10 206]"""
"Angola; 1995,""1 023 [716-1 491]"",""6 985 [4 888-10 187]"""
"Angola; 1994,""1 062 [743-1 549]"",""7 074 [4 946-10 319]"""
"Angola; 1993,""1 096 [763-1 586]"",""7 126 [4 957-10 311]"""
"Angola; 1992,""1 144 [791-1 655]"",""7 266 [5 020-10 508]"""
"Angola; 1991,""1 057 [730-1 526]"",""6 577 [4 539-9 493]"""
"Angola; 1990,""1 102 [753-1 579]"",""6 675 [4 561-9 569]"""
"Angola; 1989,""1 100 [743-1 595]"",""6 489 [4 386-9 412]"""
"Angola; 1988,""1 014 [647-1 533]"",""5 821 [3 715-8 800]"""
"Angola; 1987,""1 015 [649-1 559]"",""5 654 [3 616-8 684]"""
"Angola; 1986,""1 084 [711-1 626]"",""5 832 [3 827-8 746]"""
"Angola; 1985,""1 098 [713-1 660]"",""5 698 [3 700-8 613]"""
"Antigua_and_Barbuda; 2020,""21 [11-36]"",""0 [0-0]"""
"Antigua_and_Barbuda; 2019,""19 [10-31]"",""0 [0-0]"""
"Antigua_and_Barbuda; 2018,""19 [11-31]"",""0 [0-0]"""
"Antigua_and_Barbuda; 2017,""21 [12-34]"",""0 [0-0]"""
"Antigua_and_Barbuda; 2016,""21 [12-34]"",""0 [0-0]"""
"Antigua_and_Barbuda; 2015,""27 [16-43]"",""0 [0-0]"""
"Antigua_and_Barbuda; 2014,""23 [13-36]"",""0 [0-0]"""
"Antigua_and_Barbuda; 2013,""29 [17-45]"",""0 [0-0]"""
"Antigua_and_Barbuda; 2012,""30 [18-47]"",""0 [0-0]"""
"Antigua_and_Barbuda; 2011,""31 [19-48]"",""0 [0-0]"""
"Antigua_and_Barbuda; 2010,""31 [19-47]"",""0 [0-0]"""
"Antigua_and_Barbuda; 2009,""37 [23-56]"",""0 [0-1]"""
"Antigua_and_Barbuda; 2008,""39 [24-60]"",""0 [0-1]"""
"Antigua_and_Barbuda; 2007,""34 [21-51]"",""0 [0-1]"""
"Antigua_and_Barbuda; 2006,""35 [22-52]"",""0 [0-1]"""
"Antigua_and_Barbuda; 2005,""34 [22-51]"",""0 [0-1]"""
"Antigua_and_Barbuda; 2004,""43 [28-64]"",""0 [0-1]"""
"Antigua_and_Barbuda; 2003,""44 [28-65]"",""0 [0-1]"""
"Antigua_and_Barbuda; 2002,""41 [27-61]"",""0 [0-1]"""
"Antigua_and_Barbuda; 2001,""47 [31-70]"",""0 [0-1]"""
"Antigua_and_Barbuda; 2000,""51 [34-76]"",""1 [0-1]"""
"Antigua_and_Barbuda; 1999,""46 [30-67]"",""0 [0-1]"""
"Antigua_and_Barbuda; 1998,""51 [34-75]"",""1 [0-1]"""
"Antigua_and_Barbuda; 1997,""53 [36-79]"",""1 [0-1]"""
"Antigua_and_Barbuda; 1996,""52 [36-76]"",""1 [0-1]"""
"Antigua_and_Barbuda; 1995,""51 [35-74]"",""1 [0-1]"""
"Antigua_and_Barbuda; 1994,""52 [36-74]"",""1 [0-1]"""
"Antigua_and_Barbuda; 1993,""52 [36-75]"",""1 [0-1]"""
"Antigua_and_Barbuda; 1992,""54 [38-77]"",""1 [0-1]"""
"Antigua_and_Barbuda; 1991,""52 [36-74]"",""1 [0-1]"""
"Antigua_and_Barbuda; 1990,""58 [40-82]"",""1 [0-1]"""
"Antigua_and_Barbuda; 1989,""54 [37-77]"",""1 [0-1]"""
"Antigua_and_Barbuda; 1988,""53 [36-76]"",""1 [0-1]"""
"Antigua_and_Barbuda; 1987,""57 [39-83]"",""1 [0-1]"""
"Antigua_and_Barbuda; 1986,""58 [39-85]"",""1 [0-1]"""
"Antigua_and_Barbuda; 1985,""59 [39-87]"",""1 [0-1]"""
"Argentina; 2020,""45 [38-53]"",""286 [242-335]"""
"Argentina; 2019,""33 [28-37]"",""216 [187-246]"""
"Argentina; 2018,""34 [30-38]"",""229 [204-255]"""
"Argentina; 2017,""38 [35-42]"",""273 [250-298]"""
"Argentina; 2016,""40 [38-43]"",""296 [276-317]"""
"Argentina; 2015,""39 [37-42]"",""295 [279-312]"""
"Argentina; 2014,""42 [40-44]"",""313 [298-329]"""
"Argentina; 2013,""43 [41-46]"",""324 [306-343]"""
"Argentina; 2012,""45 [42-48]"",""335 [315-357]"""
"Argentina; 2011,""50 [47-54]"",""371 [346-400]"""
"Argentina; 2010,""55 [51-60]"",""405 [375-442]"""
"Argentina; 2009,""57 [52-62]"",""411 [376-453]"""
"Argentina; 2008,""59 [54-66]"",""426 [387-473]"""
"Argentina; 2007,""63 [57-70]"",""449 [407-499]"""
"Argentina; 2006,""61 [56-68]"",""441 [399-491]"""
"Argentina; 2005,""63 [57-70]"",""450 [408-504]"""
"Argentina; 2004,""73 [66-82]"",""520 [470-584]"""
"Argentina; 2003,""79 [71-88]"",""556 [499-625]"""
"Argentina; 2002,""71 [63-80]"",""504 [449-567]"""
"Argentina; 2001,""72 [64-81]"",""514 [455-577]"""
"Argentina; 2000,""72 [63-80]"",""513 [453-577]"""
"Argentina; 1999,""70 [62-79]"",""506 [444-572]"""
"Argentina; 1998,""70 [61-79]"",""499 [435-566]"""
"Argentina; 1997,""71 [62-81]"",""506 [441-577]"""
"Argentina; 1996,""70 [61-80]"",""504 [438-578]"""
"Argentina; 1995,""76 [67-88]"",""560 [488-647]"""
"Argentina; 1994,""77 [67-89]"",""572 [495-660]"""
"Argentina; 1993,""79 [68-91]"",""577 [499-669]"""
"Argentina; 1992,""81 [70-94]"",""591 [511-687]"""
"Argentina; 1991,""82 [71-96]"",""596 [515-696]"""
"Argentina; 1990,""88 [75-103]"",""631 [540-740]"""
"Argentina; 1989,""90 [77-107]"",""634 [540-754]"""
"Argentina; 1988,""92 [77-111]"",""644 [542-773]"""
"Argentina; 1987,""94 [78-114]"",""650 [542-794]"""
"Argentina; 1986,""95 [78-119]"",""657 [539-820]"""
"Argentina; 1985,""98 [79-124]"",""670 [538-851]"""
"Armenia; 2020,""27 [19-42]"",""10 [7-15]"""
"Armenia; 2019,""25 [20-34]"",""9 [7-12]"""
"Armenia; 2018,""25 [20-33]"",""10 [8-13]"""
"Armenia; 2017,""25 [20-32]"",""10 [8-12]"""
"Armenia; 2016,""24 [20-30]"",""10 [8-13]"""
"Armenia; 2015,""25 [21-31]"",""11 [9-13]"""
"Armenia; 2014,""28 [23-34]"",""13 [11-16]"""
"Armenia; 2013,""27 [23-33]"",""12 [10-14]"""
"Armenia; 2012,""29 [25-35]"",""13 [11-15]"""
"Armenia; 2011,""31 [27-37]"",""13 [11-15]"""
"Armenia; 2010,""33 [28-39]"",""14 [12-16]"""
"Armenia; 2009,""33 [28-39]"",""14 [12-17]"""
"Armenia; 2008,""34 [29-39]"",""13 [11-15]"""
"Armenia; 2007,""36 [30-42]"",""14 [12-16]"""
"Armenia; 2006,""40 [33-47]"",""14 [12-17]"""
"Armenia; 2005,""38 [31-44]"",""15 [13-18]"""
"Armenia; 2004,""42 [34-49]"",""17 [14-19]"""
"Armenia; 2003,""43 [35-50]"",""17 [14-19]"""
"Armenia; 2002,""48 [39-56]"",""18 [15-21]"""
"Armenia; 2001,""50 [40-58]"",""19 [15-22]"""
"Armenia; 2000,""50 [41-59]"",""20 [16-24]"""
"Armenia; 1999,""58 [48-69]"",""25 [21-30]"""
"Armenia; 1998,""55 [45-64]"",""25 [20-29]"""
"Armenia; 1997,""54 [45-63]"",""26 [22-31]"""
"Armenia; 1996,""58 [48-68]"",""30 [25-35]"""
"Armenia; 1995,""57 [48-66]"",""31 [26-37]"""
"Armenia; 1994,""59 [50-69]"",""35 [30-42]"""
"Armenia; 1993,""52 [45-61]"",""35 [30-41]"""
"Armenia; 1992,""51 [43-59]"",""40 [34-46]"""
"Armenia; 1991,""51 [44-59]"",""42 [36-49]"""
"Armenia; 1990,""47 [41-55]"",""41 [35-47]"""
"Armenia; 1989,""47 [40-55]"",""39 [33-45]"""
"Armenia; 1988,""46 [35-60]"",""38 [29-50]"""
"Armenia; 1987,""56 [47-67]"",""47 [40-57]"""
"Armenia; 1986,""53 [45-65]"",""46 [38-56]"""
"Armenia; 1985,""54 [45-67]"",""48 [39-59]"""
"Australia; 2020,""3 [2-4]"",""9 [7-10]"""
"Australia; 2019,""5 [4-6]"",""16 [13-18]"""
"Australia; 2018,""4 [4-5]"",""14 [12-16]"""
"Australia; 2017,""5 [4-5]"",""15 [13-17]"""
"Australia; 2016,""5 [5-6]"",""16 [14-18]"""
"Australia; 2015,""5 [5-6]"",""16 [14-18]"""
"Australia; 2014,""5 [5-6]"",""16 [14-19]"""
"Australia; 2013,""6 [5-7]"",""18 [16-21]"""
"Australia; 2012,""6 [5-7]"",""18 [16-20]"""
"Australia; 2011,""6 [5-7]"",""18 [16-20]"""
"Australia; 2010,""5 [5-6]"",""16 [15-18]"""
"Australia; 2009,""5 [5-6]"",""16 [14-18]"""
"Australia; 2008,""5 [4-6]"",""15 [13-17]"""
"Australia; 2007,""5 [4-6]"",""15 [13-17]"""
"Australia; 2006,""5 [4-5]"",""12 [11-14]"""
"Australia; 2005,""5 [4-5]"",""12 [10-14]"""
"Australia; 2004,""5 [4-6]"",""13 [11-15]"""
"Australia; 2003,""6 [5-6]"",""14 [12-16]"""
"Australia; 2002,""6 [5-6]"",""14 [12-16]"""
"Australia; 2001,""6 [5-7]"",""15 [13-17]"""
"Australia; 2000,""7 [6-7]"",""17 [15-19]"""
"Australia; 1999,""7 [6-8]"",""18 [16-20]"""
"Australia; 1998,""7 [7-8]"",""19 [17-21]"""
"Australia; 1997,""8 [7-9]"",""20 [18-22]"""
"Australia; 1996,""8 [7-9]"",""20 [18-22]"""
"Australia; 1995,""8 [7-9]"",""21 [18-23]"""
"Australia; 1994,""9 [8-11]"",""24 [21-27]"""
"Australia; 1993,""9 [8-10]"",""23 [21-26]"""
"Australia; 1992,""9 [8-10]"",""23 [21-26]"""
"Australia; 1991,""9 [8-10]"",""23 [20-25]"""
"Australia; 1990,""8 [7-9]"",""22 [19-24]"""
"Australia; 1989,""9 [8-10]"",""22 [19-24]"""
"Australia; 1988,""9 [7-10]"",""21 [18-24]"""
"Australia; 1987,""8 [7-10]"",""20 [17-24]"""
"Australia; 1986,""8 [6-10]"",""19 [15-23]"""
"Australia; 1985,""8 [6-10]"",""20 [15-24]"""
"Austria; 2020,""5 [4-8]"",""4 [3-7]"""
"Austria; 2019,""5 [4-8]"",""5 [3-7]"""
"Austria; 2018,""6 [4-8]"",""5 [4-7]"""
"Austria; 2017,""5 [4-7]"",""4 [3-6]"""
"Austria; 2016,""5 [4-7]"",""5 [4-6]"""
"Austria; 2015,""6 [4-8]"",""5 [4-6]"""
"Austria; 2014,""6 [5-8]"",""5 [4-6]"""
"Austria; 2013,""6 [5-7]"",""5 [4-6]"""
"Austria; 2012,""6 [5-7]"",""4 [4-6]"""
"Austria; 2011,""6 [5-8]"",""5 [4-6]"""
"Austria; 2010,""6 [5-7]"",""5 [4-6]"""
"Austria; 2009,""6 [5-7]"",""5 [4-6]"""
"Austria; 2008,""6 [5-7]"",""4 [3-5]"""
"Austria; 2007,""6 [5-7]"",""4 [4-5]"""
"Austria; 2006,""6 [5-7]"",""4 [4-5]"""
"Austria; 2005,""6 [5-7]"",""5 [4-5]"""
"Austria; 2004,""5 [4-6]"",""4 [4-5]"""
"Austria; 2003,""6 [5-7]"",""5 [4-6]"""
"Austria; 2002,""6 [5-7]"",""5 [4-6]"""
"Austria; 2001,""6 [5-7]"",""5 [4-6]"""
"Austria; 2000,""6 [5-8]"",""5 [4-6]"""
"Austria; 1999,""6 [5-8]"",""5 [4-6]"""
"Austria; 1998,""6 [5-7]"",""5 [4-6]"""
"Austria; 1997,""6 [5-7]"",""5 [4-6]"""
"Austria; 1996,""6 [5-7]"",""5 [4-7]"""
"Austria; 1995,""8 [6-9]"",""7 [6-8]"""
"Austria; 1994,""8 [7-10]"",""8 [6-9]"""
"Austria; 1993,""8 [7-10]"",""8 [6-9]"""
"Austria; 1992,""8 [7-10]"",""8 [6-9]"""
"Austria; 1991,""8 [7-10]"",""8 [6-10]"""
"Austria; 1990,""9 [7-11]"",""8 [7-10]"""
"Austria; 1989,""9 [8-12]"",""8 [7-10]"""
"Austria; 1988,""10 [8-12]"",""9 [7-11]"""
"Austria; 1987,""8 [7-11]"",""7 [6-9]"""
"Austria; 1986,""11 [8-14]"",""9 [7-12]"""
"Austria; 1985,""11 [8-14]"",""9 [7-12]"""
"Azerbaijan; 2020,""41 [22-69]"",""54 [29-92]"""
"Azerbaijan; 2019,""27 [17-41]"",""39 [24-60]"""
"Azerbaijan; 2018,""28 [17-41]"",""39 [25-59]"""
"Azerbaijan; 2017,""27 [17-39]"",""40 [25-58]"""
"Azerbaijan; 2016,""26 [17-37]"",""45 [29-64]"""
"Azerbaijan; 2015,""29 [19-41]"",""54 [35-76]"""
"Azerbaijan; 2014,""29 [19-40]"",""55 [37-77]"""
"Azerbaijan; 2013,""28 [19-39]"",""55 [37-75]"""
"Azerbaijan; 2012,""29 [20-40]"",""57 [39-76]"""
"Azerbaijan; 2011,""31 [22-41]"",""58 [41-77]"""
"Azerbaijan; 2010,""33 [24-43]"",""60 [44-79]"""
"Azerbaijan; 2009,""33 [24-43]"",""60 [44-77]"""
"Azerbaijan; 2008,""33 [24-42]"",""57 [43-72]"""
"Azerbaijan; 2007,""34 [26-43]"",""57 [44-71]"""
"Azerbaijan; 2006,""39 [30-48]"",""61 [47-75]"""
"Azerbaijan; 2005,""44 [34-54]"",""66 [52-81]"""
"Azerbaijan; 2004,""47 [37-57]"",""68 [54-82]"""
"Azerbaijan; 2003,""51 [41-61]"",""71 [58-86]"""
"Azerbaijan; 2002,""54 [44-64]"",""73 [60-88]"""
"Azerbaijan; 2001,""55 [46-65]"",""76 [63-90]"""
"Azerbaijan; 2000,""56 [47-65]"",""78 [66-92]"""
"Azerbaijan; 1999,""56 [47-66]"",""81 [69-95]"""
"Azerbaijan; 1998,""64 [54-75]"",""95 [81-111]"""
"Azerbaijan; 1997,""62 [53-72]"",""97 [83-113]"""
"Azerbaijan; 1996,""65 [56-76]"",""108 [92-125]"""
"Azerbaijan; 1995,""58 [50-68]"",""102 [87-119]"""
"Azerbaijan; 1994,""59 [51-69]"",""108 [93-126]"""
"Azerbaijan; 1993,""57 [49-67]"",""110 [95-129]"""
"Azerbaijan; 1992,""51 [44-60]"",""102 [88-120]"""
"Azerbaijan; 1991,""50 [43-59]"",""104 [89-123]"""
"Azerbaijan; 1990,""47 [41-56]"",""100 [86-119]"""
"Azerbaijan; 1989,""46 [39-55]"",""101 [86-121]"""
"Azerbaijan; 1988,""48 [40-58]"",""107 [90-131]"""
"Azerbaijan; 1987,""50 [42-62]"",""110 [92-137]"""
"Azerbaijan; 1986,""55 [46-70]"",""118 [98-150]"""
"Azerbaijan; 1985,""53 [43-69]"",""111 [92-145]"""
"Bahamas; 2020,""77 [51-128]"",""4 [3-6]"""
"Bahamas; 2019,""82 [50-148]"",""4 [2-7]"""
"Bahamas; 2018,""77 [53-121]"",""4 [3-6]"""
"Bahamas; 2017,""77 [54-118]"",""4 [3-6]"""
"Bahamas; 2016,""79 [57-117]"",""4 [3-6]"""
"Bahamas; 2015,""84 [61-122]"",""4 [3-6]"""
"Bahamas; 2014,""97 [71-136]"",""5 [4-7]"""
"Bahamas; 2013,""82 [61-113]"",""4 [3-6]"""
"Bahamas; 2012,""101 [75-136]"",""5 [4-7]"""
"Bahamas; 2011,""101 [75-133]"",""5 [4-7]"""
"Bahamas; 2010,""79 [60-104]"",""5 [4-6]"""
"Bahamas; 2009,""89 [68-116]"",""5 [4-7]"""
"Bahamas; 2008,""86 [67-111]"",""5 [4-7]"""
"Bahamas; 2007,""86 [67-110]"",""4 [3-6]"""
"Bahamas; 2006,""79 [63-101]"",""4 [3-5]"""
"Bahamas; 2005,""74 [59-94]"",""4 [4-6]"""
"Bahamas; 2004,""72 [58-92]"",""4 [3-6]"""
"Bahamas; 2003,""69 [55-86]"",""4 [3-5]"""
"Bahamas; 2002,""66 [53-83]"",""4 [3-5]"""
"Bahamas; 2001,""63 [50-79]"",""4 [3-5]"""
"Bahamas; 2000,""61 [48-76]"",""4 [3-5]"""
"Bahamas; 1999,""67 [51-84]"",""4 [3-5]"""
"Bahamas; 1998,""54 [42-70]"",""4 [3-5]"""
"Bahamas; 1997,""59 [45-76]"",""4 [3-5]"""
"Bahamas; 1996,""59 [44-76]"",""4 [3-5]"""
"Bahamas; 1995,""56 [42-73]"",""4 [3-5]"""
"Bahamas; 1994,""54 [40-70]"",""4 [3-5]"""
"Bahamas; 1993,""58 [42-75]"",""4 [3-5]"""
"Bahamas; 1992,""56 [41-73]"",""4 [3-5]"""
"Bahamas; 1991,""55 [40-72]"",""4 [3-5]"""
"Bahamas; 1990,""53 [38-71]"",""4 [3-5]"""
"Bahamas; 1989,""58 [41-77]"",""3 [2-5]"""
"Bahamas; 1988,""56 [39-76]"",""3 [2-5]"""
"Bahamas; 1987,""61 [42-84]"",""4 [3-5]"""
"Bahamas; 1986,""57 [39-80]"",""3 [2-5]"""
"Bahamas; 1985,""56 [37-78]"",""3 [2-5]"""
"Bahrain; 2020,""16 [13-19]"",""3 [3-4]"""
"Bahrain; 2019,""15 [12-17]"",""3 [2-3]"""
"Bahrain; 2018,""14 [12-16]"",""3 [2-3]"""
"Bahrain; 2017,""15 [13-18]"",""3 [3-4]"""
"Bahrain; 2016,""15 [13-17]"",""3 [3-4]"""
"Bahrain; 2015,""16 [13-18]"",""3 [3-4]"""
"Bahrain; 2014,""15 [13-18]"",""3 [3-4]"""
"Bahrain; 2013,""16 [14-19]"",""3 [3-4]"""
"Bahrain; 2012,""18 [15-22]"",""3 [3-4]"""
"Bahrain; 2011,""19 [16-23]"",""4 [3-4]"""
"Bahrain; 2010,""20 [17-24]"",""4 [3-4]"""
"Bahrain; 2009,""18 [15-22]"",""3 [3-4]"""
"Bahrain; 2008,""18 [15-22]"",""3 [3-4]"""
"Bahrain; 2007,""18 [15-21]"",""3 [3-4]"""
"Bahrain; 2006,""21 [17-25]"",""4 [3-5]"""
"Bahrain; 2005,""21 [17-26]"",""4 [3-4]"""
